name,nominations,wins
To Stan Laurel for his creative pioneering in the field of cinema comedy.,1,1
Maximilian Schell,3,1
Stuart Whitman,1,0
George Chakiris,1,1
Jackie Gleason,1,0
Piper Laurie,3,0
Sophia Loren,2,1
Lotte Lenya,1,0
Una Merkel,1,0
Rita Moreno,1,1
The Absent Minded Professor,3,0
The Children's Hour,4,0
The Hustler,5,2
Judgment at Nuremberg,7,1
La Dolce Vita,4,1
Breakfast at Tiffany's,4,2
El Cid,3,0
Flower Drum Song,5,0
Summer and Smoke,2,0
West Side Story,9,8
"One, Two, Three",1,0
Fanny,4,0
A Majority of One,1,0
One-Eyed Jacks,1,0
Claudelle Inglish,1,0
Yojimbo,1,0
Babes in Toyland,2,0
Pocketful of Miracles,2,0
The Guns of Navarone,7,1
La Grande Olimpiade (Olympic Games 1960),1,0
Le Ciel et la Boue (Sky Above and Mud Beneath),1,1
Breaking the Language Barrier,1,0
Cradle of Genius,1,0
Kahl,1,0
L'Uomo in Grigio (The Man in Gray),1,0
Project Hope,1,1
The Parent Trap,2,0
Harry and the Butler,1,0
Immortal Love,1,0
The Important Man,1,0
Placido,1,0
Through a Glass Darkly,2,1
Khovanshchina,1,0
Paris Blues,1,0
Bachelor in Paradise,1,0
Town without Pity,1,0
Aquamania,1,0
Beep Prepared,1,0
Ersatz (The Substitute),1,1
Nelly's Folly,1,0
The Pied Piper of Guadalupe,1,0
Ballon Vole (Play Ball!),1,0
The Face of Jesus,1,0
Rooftops of New York,1,0
Seawards the Great Ships,1,1
"Very Nice, Very Nice",1,0
Ballad of a Soldier,1,0
General Della Rovere,1,0
Lover Come Back,1,0
Splendor in the Grass,1,1
George Seaton,1,1
Stanley Kramer,1,1
Marcello Mastroianni,3,0
Peter O'Toole,8,0
Ed Begley,1,1
Victor Buono,1,0
Telly Savalas,1,0
Omar Sharif,1,0
Terence Stamp,1,0
Anne Bancroft,5,1
Lee Remick,1,0
Mary Badham,1,0
Patty Duke,1,1
Days of Wine and Roses,3,1
The Longest Day,5,2
Period of Adjustment,1,0
The Pigeon That Took Rome,1,0
To Kill a Mockingbird,6,2
Lawrence of Arabia,8,7
Meredith Willson's The Music Man,6,1
That Touch of Mink,3,0
The Wonderful World of the Brothers Grimm,4,1
Birdman of Alcatraz,1,0
Two for the Seesaw,2,0
What Ever Happened to Baby Jane?,3,1
Gypsy,3,0
Hatari!,1,0
The Man Who Shot Liberty Valance,1,0
The Miracle Worker,3,0
Phaedra,1,0
Bon Voyage!,2,0
My Geisha,1,0
David and Lisa,2,0
Divorce--Italian Style,2,1
Alvorada (Brazil's Changing Face),1,0
Black Fox,1,1
Dylan Thomas,1,1
The John Glenn Story,1,0
The Road to the Wall,1,0
The Manchurian Candidate,1,0
Electra,1,0
The Four Days of Naples,2,0
Keeper of Promises (The Given Word),1,0
Sundays and Cybele,3,1
Tlayucan,1,0
Freud,2,0
Taras Bulba,1,0
Billy Rose's Jumbo,1,0
Gigot,1,0
Tender Is the Night,1,0
Walk on the Wild Side,1,0
The Hole,1,1
Icarus Montgolfier Wright,1,0
Now Hear This,1,0
Self Defense--For Cowards,1,0
Symposium on Popular Songs,1,0
Big City Blues,1,0
The Cadillac,1,0
The Cliff Dwellers (formerly titled 'One Plus One'),1,0
Heureux Anniversaire (Happy Anniversary),1,1
Pan,1,0
Lolita,1,0
Last Year at Marienbad,1,0
Steve Broidy,1,1
"To ELECTRO-VOICE, INC., for a highly directional dynamic line microphone.",1,1
To LOUIS G. MacKENZIE for a selective sound effects repeater.,1,1
Albert Finney,5,0
Richard Harris,2,0
Rex Harrison,2,1
Nick Adams,1,0
Bobby Darin,1,0
Melvyn Douglas,3,2
John Huston,1,0
Patricia Neal,2,1
Rachel Roberts,1,0
Diane Cilento,1,0
Dame Edith Evans,3,0
Joyce Redman,2,0
Margaret Rutherford,1,1
Lilia Skala,1,0
America America,4,1
Federico Fellini's 8-1/2,5,2
Hud,4,1
Love with the Proper Stranger,4,0
Twilight of Honor,1,0
The Cardinal,5,0
Come Blow Your Horn,1,0
How the West Was Won,8,3
Tom Jones,5,4
The Balcony,1,0
The Caretakers,1,0
Lilies of the Field,3,0
Irma La Douce,2,1
"It's a Mad, Mad, Mad, Mad World",6,1
The Stripper,1,0
Toys in the Attic,1,0
Wives and Lovers,1,0
The Leopard,1,0
A New Kind of Love,2,0
Le Maillon et la Chaine (The Link and the Chain),1,0
Robert Frost: A Lover's Quarrel with the World,1,1
Terminus,1,0
The Yanks Are Coming,1,0
Chagall,1,1
The Five Cities of June,1,0
The Spirit of America,1,0
Thirty Million Letters,1,0
To Live Again,1,0
The Great Escape,1,0
Knife in the Water,1,0
Los Tarantos,1,0
The Red Lanterns,1,0
Twin Sisters of Kyoto,1,0
55 Days at Peking,2,0
Bye Bye Birdie,2,0
The Sword in the Stone,1,0
Papa's Delicate Condition,1,1
Charade,2,1
Mondo Cane,1,0
Automania 2000,1,0
The Critic,1,1
The Game (Igra),1,0
My Financial Career,1,0
Pianissimo,1,0
The Concert,2,0
Home-Made Car,1,0
An Occurrence at Owl Creek Bridge,1,1
Six-Sided Triangle,1,0
That's Me,1,0
"Captain Newman, M.D.",2,0
A Gathering of Eagles,1,0
The Birds,1,0
Sam Spiegel,1,1
Peter Sellers,2,0
John Gielgud,2,1
Stanley Holloway,1,0
Lee Tracy,1,0
Julie Andrews,3,1
Debbie Reynolds,2,1
Kim Stanley,2,0
Grayson Hall,1,0
Lila Kedrova,1,1
The Americanization of Emily,2,0
"Hush...Hush, Sweet Charlotte",6,0
The Night of the Iguana,3,1
Seven Days in May,1,0
Zorba the Greek,5,2
Becket,9,1
Mary Poppins,12,4
My Fair Lady,9,7
The Unsinkable Molly Brown,5,0
What a Way to Go!,2,0
Fate Is the Hunter,1,0
Cheyenne Autumn,1,0
A House Is Not a Home,1,0
Kisses for My President,1,0
The Visit,1,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,3,0
The Finest Hours,1,0
Four Days in November,1,0
The Human Dutch,1,0
Jacques-Yves Cousteau's World without Sun,1,1
"Over There, 1914-18",1,0
Breaking the Habit,1,0
Children Without,1,0
Kenojuak,1,0
Nine from Little Rock,1,1
140 Days under the World,1,0
Father Goose,3,1
Raven's End,1,0
Sallah,1,0
The Umbrellas of Cherbourg,5,0
Woman in the Dunes,2,0
"Yesterday, Today and Tomorrow",1,1
The Fall of the Roman Empire,1,0
The Pink Panther,1,0
A Hard Day's Night,2,0
Robin and the 7 Hoods,2,0
Dear Heart,1,0
Where Love Has Gone,1,0
Christmas Cracker,1,0
How to Avoid Friendship,1,0
Nudnik #2,1,0
The Pink Phink,1,1
Casals Conducts: 1964,1,1
Help! My Snowman's Burning Down,1,0
The Legend of Jimmy Blue Eyes,1,0
Goldfinger,1,1
The Lively Set,1,0
7 Faces of Dr. Lao,1,0
"One Potato, Two Potato",1,0
The Organizer,1,0
That Man from Rio,1,0
Lee Marvin,1,1
Oskar Werner,1,0
Martin Balsam,1,1
Ian Bannen,1,0
Tom Courtenay,2,0
Michael Dunn,1,0
Frank Finlay,1,0
Julie Christie,4,1
Samantha Eggar,1,0
Elizabeth Hartman,1,0
Ruth Gordon,2,1
Maggie Smith,6,2
Peggy Wood,1,0
King Rat,2,0
A Patch of Blue,3,0
Ship of Fools,5,2
The Slender Thread,2,0
The Spy Who Came In from the Cold,1,0
The Agony and the Ecstasy,5,0
Doctor Zhivago,9,5
The Greatest Story Ever Told,5,0
Inside Daisy Clover,2,0
The Sound of Music,8,5
In Harm's Way,1,0
Morituri,2,0
The Great Race,5,1
Darling,4,2
A Rage to Live,1,0
The Collector,2,0
The Battle of the Bulge...The Brave Rifles,1,0
The Eleanor Roosevelt Story,1,1
The Forth Road Bridge,1,0
Let My People Go,1,0
To Die in Madrid,1,0
Mural on Our Street,1,0
Ouverture,1,0
Point of View,1,0
To Be Alive!,1,1
Yeats Country,1,0
Cat Ballou,4,0
The Flight of the Phoenix,1,0
Blood on the Land,1,0
Dear John,1,0
Kwaidan,1,0
Marriage Italian Style,1,0
The Shop on Main Street,1,1
The Pleasure Seekers,1,0
A Thousand Clowns,3,0
The Sandpiper,1,1
What's New Pussycat?,1,0
Clay or The Origin of Species,1,0
The Dot and the Line,1,1
The Thieving Magpie (La Gazza Ladra),1,0
The Chicken (Le Poulet),1,1
Fortress of Peace,1,0
Skaterdater,1,0
Snow,1,0
Time Piece,1,0
Shenandoah,1,0
Von Ryan's Express,1,0
Thunderball,1,1
Casanova '70,1,0
Those Magnificent Men in Their Flying Machines,1,0
The Train,1,0
Edmond L. DePatie,1,1
William Wyler,1,1
Alan Arkin,4,1
Michael Caine,6,2
Steve McQueen,1,0
Paul Scofield,2,1
Mako,1,0
Walter Matthau,3,1
George Segal,1,0
Robert Shaw,1,0
Anouk Aimee,1,0
Ida Kaminska,1,0
Lynn Redgrave,2,0
Vanessa Redgrave,6,1
Sandy Dennis,1,1
Jocelyne Lagarde,1,0
Vivien Merchant,1,0
The Fortune Cookie,3,0
The Gospel According to St. Matthew,3,0
Is Paris Burning?,2,0
Mister Buddwing,2,0
Who's Afraid of Virginia Woolf?,9,3
Fantastic Voyage,5,2
Gambit,3,0
Juliet of the Spirits,2,0
The Oscar,2,0
The Sand Pebbles,6,0
Georgy Girl,2,0
Seconds,1,0
Hawaii,6,0
A Man for All Seasons,5,5
The Professionals,3,0
Mandragola,1,0
Morgan!,1,0
Blow-Up,2,0
A Man and a Woman,3,2
The Face of Genius,1,0
Helicopter Canada,1,0
Le Volcan Interdit (The Forbidden Volcano),1,0
The Really Big Family,1,0
The War Game,1,1
Adolescence,1,0
The Odds Against,1,0
Saint Matthew Passion,1,0
A Year toward Tomorrow,1,1
Grand Prix,3,3
The Russians Are Coming The Russians Are Coming,3,0
The Battle of Algiers,3,0
Loves of a Blonde,1,0
Pharaoh,1,0
Three,1,0
The Bible,1,0
Born Free,2,2
A Funny Thing Happened on the Way to the Forum,1,1
Return of the Seven,1,0
The Singing Nun,1,0
Stop the World--I Want to Get Off,1,0
Alfie,3,0
An American Dream,1,0
The Drag,1,0
Herb Alpert and the Tijuana Brass Double Feature,1,1
The Pink Blueprint,1,0
Turkey the Bridge,1,0
Wild Wings,1,1
The Winning Strain,1,0
Khartoum,1,0
The Naked Prey,1,0
George Bagnall,1,1
Robert Wise,1,1
Warren Beatty,5,1
Dustin Hoffman,7,2
John Cassavetes,1,0
Gene Hackman,5,2
George Kennedy,1,1
Michael J. Pollard,1,0
Faye Dunaway,3,1
Carol Channing,1,0
Mildred Natwick,1,0
Estelle Parsons,2,1
Beah Richards,1,0
Katharine Ross,1,0
Camelot,5,3
Doctor Dolittle,9,2
Guess Who's Coming to Dinner,6,1
The Taming of the Shrew,2,0
Thoroughly Modern Millie,6,1
Bonnie and Clyde,5,1
The Graduate,4,1
In Cold Blood,4,0
The Happiest Millionaire,1,0
In the Heat of the Night,6,4
The Anderson Platoon,1,1
Festival,1,0
Harvest,1,0
A King's Story,1,0
A Time for Burning,1,0
Monument to the Dream,1,0
A Place to Stand,2,1
The Redwoods,1,1
See You at the Pillar,1,0
While I Run This Race,1,0
Beach Red,1,0
The Dirty Dozen,3,1
Closely Watched Trains,1,1
El Amor Brujo,1,0
I Even Met Happy Gypsies,1,0
Live for Life,1,0
Portrait of Chieko,1,0
Cool Hand Luke,2,0
Far from the Madding Crowd,1,0
Valley of the Dolls,1,0
The Jungle Book,2,1
Banning,1,0
Casino Royale,1,0
The Box,1,1
Hypothese Beta,1,0
What on Earth!,1,0
Paddle to the Sea,1,0
Sky over Holland,1,0
"Stop, Look and Listen",1,0
Tobruk,1,0
Ulysses,1,0
Divorce American Style,1,0
La Guerre Est Finie,1,0
Two for the Road,1,0
Alfred Hitchcock,1,1
Alan Bates,1,0
Ron Moody,1,0
Cliff Robertson,1,1
Jack Albertson,1,1
Seymour Cassel,1,0
Daniel Massey,1,0
Jack Wild,1,0
Gene Wilder,1,0
Barbra Streisand,2,1
Lynn Carlin,1,0
Sondra Locke,1,0
Kay Medford,1,0
Oliver!,9,5
The Shoes of the Fisherman,2,0
Star!,6,0
2001: A Space Odyssey,4,1
Funny Girl,6,0
Ice Station Zebra,2,0
The Lion in Winter,5,2
Planet of the Apes,2,0
A Few Notes on Our Food Problem,1,0
Journey into Self,1,1
The Legendary Champions,1,0
Other Voices,1,0
Young Americans,1,0
The House That Ananda Built,1,0
The Revolving Door,1,0
A Space to Grow,1,0
A Way Out of the Wilderness,1,0
Why Man Creates,1,1
Bullitt,2,1
The Odd Couple,2,0
Wild in the Streets,1,0
The Boys of Paul Street,1,0
The Firemen's Ball,1,0
The Girl with the Pistol,1,0
Stolen Kisses,1,0
The Fox,1,0
The Thomas Crown Affair,2,1
Finian's Rainbow,2,0
The Young Girls of Rochefort,1,0
Chitty Chitty Bang Bang,1,0
For Love of Ivy,1,0
"Rachel, Rachel",2,0
The House That Jack Built,1,0
The Magic Pear Tree,1,0
Windy Day,1,0
Winnie the Pooh and the Blustery Day,1,1
The Dove,1,0
Duo,1,0
Prelude,1,0
Robert Kennedy Remembered,1,1
Rosemary's Baby,1,0
Faces,1,0
Hot Millions,1,0
The Producers,1,1
Martha Raye,1,1
To Onna White for her outstanding choreography achievement for Oliver!,1,1
Jon Voight,4,1
Rupert Crosse,1,0
Elliott Gould,1,0
Jack Nicholson,12,3
Anthony Quayle,1,0
Genevieve Bujold,1,0
Jane Fonda,7,2
Liza Minnelli,2,1
Catherine Burns,1,0
Dyan Cannon,2,0
Goldie Hawn,2,1
Sylvia Miles,2,0
Susannah York,1,0
Anne of the Thousand Days,7,1
"Gaily, Gaily",3,0
"Hello, Dolly!",7,3
Sweet Charity,3,0
"They Shoot Horses, Don't They?",6,0
Bob & Carol & Ted & Alice,2,0
Butch Cassidy and the Sundance Kid,7,4
Marooned,3,1
Alice's Restaurant,1,0
Midnight Cowboy,4,3
Z,5,2
Arthur Rubinstein - The Love of Life,1,1
Before the Mountain Was Moved,1,0
In the Year of the Pig,1,0
The Olympics in Mexico,1,0
The Wolf Men,1,0
Czechoslovakia 1968,1,1
An Impression of John Steinbeck: Writer,1,0
Jenny Is a Good Thing,1,0
Leo Beuerman,1,0
The Magic Machines,2,1
The Secret of Santa Vittoria,2,0
Ådalen '31,1,0
The Battle of Neretva,1,0
The Brothers Karamazov,1,0
My Night at Maud's,2,0
The Reivers,1,0
The Wild Bunch,2,0
Paint Your Wagon,1,0
The Sterile Cuckoo,1,0
The Prime of Miss Jean Brodie,1,0
True Grit,9,0
The Happy Ending,1,0
It's Tough to Be a Bird,1,1
Of Men and Demons,1,0
Walking,1,0
Blake,1,0
People Soup,1,0
"Krakatoa, East of Java",1,0
"Goodbye, Columbus",1,0
The Damned,1,0
Easy Rider,1,0
George Jessel,1,1
James Earl Jones,1,0
Ryan O'Neal,1,0
Richard Castellano,1,0
Chief Dan George,1,0
John Marley,1,0
John Mills,1,1
Jane Alexander,4,0
Glenda Jackson,4,2
Ali MacGraw,1,0
Sarah Miles,1,0
Carrie Snodgress,1,0
Karen Black,1,0
Sally Kellerman,1,0
Airport,8,0
The Molly Maguires,1,0
Patton,9,6
Scrooge,4,0
Tora! Tora! Tora!,5,1
Ryan's Daughter,2,1
Women in Love,3,0
Cromwell,2,1
Darling Lili,3,0
The Hawaiians,1,0
Fellini Satyricon,1,0
Love Story,4,1
M*A*S*H,4,1
Chariots of the Gods,1,0
Jack Johnson,1,0
King: A Filmed Record...Montgomery to Memphis,1,0
Say Goodbye,1,0
Woodstock,3,1
The Gifts,1,0
Interviews with My Lai Veterans,1,1
A Long Way from Nowhere,1,0
Oisin,1,0
Time Is Running Out,1,0
Hoa-Binh,1,0
Investigation of a Citizen above Suspicion,2,1
Paix Sur Les Champs,1,0
Tristana,1,0
Sunflower,1,0
The Baby Maker,1,0
A Boy Named Charlie Brown,1,0
Let It Be,1,1
Lovers and Other Strangers,2,1
Pieces of Dreams,1,0
Madron,1,0
Five Easy Pieces,2,0
The Further Adventures of Uncle Sam: Part Two,1,0
Is It Always Right to Be Right?,1,1
The Shepherd,1,0
The Resurrection of Broncho Billy,1,1
Shut Up...I'm Crying,1,0
Sticky My Fingers...Fleet My Feet,1,0
I Never Sang for My Father,1,0
Joe,1,0
Ingmar Bergman,1,1
Peter Finch,2,1
Topol,1,0
Jeff Bridges,7,1
Leonard Frey,1,0
Richard Jaeckel,1,0
Ben Johnson,1,1
Roy Scheider,2,0
Janet Suzman,1,0
Ann-Margret,2,0
Ellen Burstyn,6,1
Barbara Harris,1,0
Cloris Leachman,1,1
Margaret Leighton,1,0
The Andromeda Strain,2,0
Bedknobs and Broomsticks,5,1
Fiddler on the Roof,6,3
"Mary, Queen of Scots",4,0
Nicholas and Alexandra,5,2
The French Connection,6,4
The Last Picture Show,4,0
Summer of '42,4,1
Death in Venice,1,0
What's the Matter with Helen?,1,0
A Clockwork Orange,4,0
Sunday Bloody Sunday,2,0
Alaska Wilderness Lake,1,0
The Hellstrom Chronicle,1,1
On Any Sunday,1,0
The RA Expeditions,1,0
The Sorrow and the Pity,1,0
Adventures in Perception,1,0
Art Is...,1,0
The Numbers Start with the River,1,0
Sentinels of Silence,2,2
Somebody Waiting,1,0
Kotch,3,0
Dodes'ka-Den,1,0
The Emigrants,4,0
The Garden of the Finzi Continis,2,1
The Policeman,1,0
Tchaikovsky,2,0
Shaft,2,1
Straw Dogs,1,0
The Boy Friend,1,0
Willy Wonka and the Chocolate Factory,1,0
Sometimes a Great Notion,1,0
Bless the Beasts & Children,1,0
The Crunch Bird,1,1
Evolution,1,0
The Selfish Giant,1,0
Good Morning,1,0
The Rehearsal,1,0
Diamonds Are Forever,1,0
When Dinosaurs Ruled the Earth,1,0
The Conformist,1,0
The Hospital,1,1
Klute,1,0
Paul Winfield,1,0
James Caan,1,0
Robert Duvall,7,1
Joel Grey,1,1
Al Pacino,8,1
Diana Ross,1,0
Cicely Tyson,1,0
Liv Ullmann,2,0
Jeannie Berlin,1,0
Susan Tyrrell,1,0
Cabaret,8,6
Lady Sings the Blues,4,0
The Poseidon Adventure,8,2
Travels with My Aunt,3,1
Young Winston,3,0
Butterflies Are Free,2,0
1776,1,0
The Godfather,7,2
Deliverance,3,0
Sleuth,2,0
Ape and Super-Ape,1,0
Malcolm X,2,0
Manson,1,0
Marjoe,1,1
The Silent Revolution,1,0
Hundertwasser's Rainy Day,1,0
K-Z,1,0
Selling Out,1,0
This Tiny World,1,1
The Tide of Traffic,1,0
The Hot Rock,1,0
The Dawns Here Are Quiet,1,0
The Discreet Charm of the Bourgeoisie,2,1
I Love You Rosa,1,0
My Dearest Señorita,1,0
The New Land,1,0
images,1,0
Limelight,1,1
Napoleon and Samantha,1,0
Man of La Mancha,1,0
Ben,1,0
The Little Ark,1,0
The Life and Times of Judge Roy Bean,1,0
The Stepmother,1,0
Sounder,2,0
A Christmas Carol,1,1
Kama Sutra Rides Again,1,0
Tup Tup,1,0
Frog Story,1,0
Norman Rockwell's World...An American Dream,1,1
Solo,1,0
The Candidate,2,1
Pete 'n' Tillie,1,0
Murmur of the Heart,1,0
Robert Redford,1,0
Vincent Gardenia,2,0
Jack Gilford,1,0
John Houseman,1,1
Jason Miller,1,0
Randy Quaid,1,0
Marsha Mason,4,0
Linda Blair,1,0
Candy Clark,1,0
Madeline Kahn,2,0
Tatum O'Neal,1,1
Sylvia Sidney,1,0
Brother Sun Sister Moon,1,0
The Exorcist,7,2
The Sting,9,7
Tom Sawyer,3,0
The Way We Were,5,2
Cries and Whispers,5,1
Jonathan Livingston Seagull,2,0
Ludwig,1,0
American Graffiti,4,0
Last Tango in Paris,1,0
Always a New Beginning,1,0
Battle of Berlin,1,0
The Great American Cowboy,1,1
Journey to the Outer Limits,1,0
Walls of Fire,1,0
Background,1,0
Children at Work (Paisti Ag Obair),1,0
Christo's Valley Curtain,1,0
Four Stones for Kanemitsu,1,0
Princeton: A Search for Answers,1,1
The Day of the Jackal,1,0
Day for Night,3,1
The House on Chelouche Street,1,0
L'Invitation,1,0
The Pedestrian,1,0
Turkish Delight,1,0
Cinderella Liberty,2,0
The Day of the Dolphin,2,0
Papillon,1,0
A Touch of Class,4,0
Jesus Christ Superstar,1,0
Live and Let Die,1,0
Robin Hood,1,0
Frank Film,1,1
The Legend of John Henry,1,0
Pulcinella,1,0
The Bolero,1,1
Clockmaker,1,0
Life Times Nine,1,0
The Paper Chase,2,0
Paper Moon,2,0
The Last Detail,1,0
Serpico,1,0
Save the Tiger,1,0
Lew Wasserman,1,1
Lawrence Weingarten,1,1
Art Carney,1,1
Fred Astaire,1,0
Robert De Niro,7,2
Michael V. Gazzo,1,0
Lee Strasberg,1,0
Diahann Carroll,1,0
Valerie Perrine,1,0
Gena Rowlands,2,0
Valentina Cortese,1,0
Diane Ladd,3,0
Talia Shire,2,0
Chinatown,9,1
Earthquake,5,2
The Godfather Part II,6,5
The Island at the Top of the World,1,0
The Towering Inferno,7,3
Lenny,4,0
Murder on the Orient Express,4,0
Daisy Miller,1,0
The Great Gatsby,4,4
A Woman under the Influence,1,0
Antonia: A Portrait of the Woman,1,0
The Challenge...A Tribute to Modern Art,1,0
The 81st Blow,1,0
Hearts and Minds,1,1
The Wild and the Brave,1,0
City Out of Wilderness,1,0
Don't,1,1
Exploratorium,1,0
John Muir's High Sierra,1,0
Naked Yoga,1,0
Blazing Saddles,2,0
The Longest Yard,1,0
Amarcord,3,1
Cats' Play,1,0
The Deluge,1,0
"Lacombe, Lucien",1,0
The Truce,1,0
Shanks,1,0
The Little Prince,2,0
Phantom of the Paradise,1,0
Benji,1,0
Gold,1,0
The Conversation,3,0
Closed Mondays,1,1
The Family That Dwelt Apart,1,0
Hunger,1,0
Voyage to Next,1,0
Winnie the Pooh and Tigger Too,1,0
Climb,1,0
One-Eyed Men Are Kings,1,1
Planet Ocean,1,0
The Violin,1,0
Young Frankenstein,2,0
Alice Doesn't Live Here Anymore,1,0
Harry and Tonto,1,0
The Apprenticeship of Duddy Kravitz,1,0
Arthur B. Krim,1,1
George Burns,1,1
Brad Dourif,1,0
Burgess Meredith,2,0
Chris Sarandon,1,0
Jack Warden,2,0
Isabelle Adjani,2,0
Louise Fletcher,1,1
Carol Kane,1,0
Ronee Blakley,1,0
Lily Tomlin,1,0
Brenda Vaccaro,1,0
Barry Lyndon,7,4
The Hindenburg,5,2
The Man Who Would Be King,4,0
Shampoo,2,0
The Sunshine Boys,2,0
The Day of the Locust,1,0
Funny Lady,5,0
One Flew over the Cuckoo's Nest,6,3
The Four Musketeers,1,0
The Magic Flute,1,0
Dog Day Afternoon,4,1
Nashville,3,1
The California Reich,1,0
Fighting for Our Lives,1,0
The Incredible Machine,1,0
The Man Who Skied down Everest,1,1
The Other Half of the Sky: A China Memoir,1,0
Arthur and Lillie,1,0
The End of the Game,1,1
Millions of Years Ahead of Man,1,0
Probes in Space,1,0
Whistling Smith,1,0
Jaws,4,3
Three Days of the Condor,1,0
Dersu Uzala,1,1
Land of Promise,1,0
Letters from Marusia,1,0
Sandakan No. 8,1,0
Scent of a Woman,5,0
"Birds Do It, Bees Do It",1,0
Bite the Bullet,2,0
The Wind and the Lion,2,0
Tommy,1,0
Whiffs,1,0
The Other Side of the Mountain,1,0
Mahogany,1,0
Great,1,1
Kick Me,1,0
Monsieur Pointu,1,0
Sisyphus,1,0
Angel and Big Joe,1,1
Conquest of Light,1,0
Dawn Flight,1,0
A Day in the Life of Bonnie Consolo,1,0
Doubletalk,1,0
And Now My Love,1,0
Lies My Father Told Me,1,0
Dr. Jules C. Stein,1,1
Mervyn LeRoy,1,1
Giancarlo Giannini,1,0
Sylvester Stallone,2,0
Ned Beatty,1,0
Jason Robards,3,2
Burt Young,1,0
Marie-Christine Barrault,1,0
Sissy Spacek,6,1
Jodie Foster,4,2
Beatrice Straight,1,1
All the President's Men,6,3
The Incredible Sarah,2,0
The Last Tycoon,1,0
Logan's Run,3,1
The Shootist,1,0
Bound for Glory,6,2
King Kong,7,4
Network,5,1
Fellini's Casanova,2,1
The Passover Plot,1,0
The Seven-per-cent Solution,2,0
Face to Face,1,0
Rocky,6,3
Seven Beauties,3,0
"Harlan County, U.S.A.",1,1
Hollywood on Trial,1,0
Off the Edge,1,0
People of the Wind,1,0
Volcano:  An Inquiry into the Life and Death of Malcolm Lowry,1,0
American Shoeshine,1,0
Blackwood,1,0
The End of the Road,1,0
Number Our Days,1,1
Two-Minute Warning,1,0
Black and White in Color,1,1
"Cousin, Cousine",2,0
"Jacob, the Liar",1,0
Nights and Days,1,0
Obsession,1,0
The Omen,2,1
The Outlaw Josey Wales,1,0
Taxi Driver,2,0
Voyage of the Damned,2,0
Bugsy Malone,1,0
Half a House,1,0
The Pink Panther Strikes Again,1,0
Dedalo,1,0
Leisure,1,1
The Street,1,0
In the Region of Ice,1,1
Kudzu,1,0
The Morning Spider,1,0
Nightlife,1,0
Number One,1,0
Silver Streak,1,0
The Front,1,0
Pandro S. Berman,1,1
Woody Allen,1,0
Richard Dreyfuss,2,1
John Travolta,2,0
Mikhail Baryshnikov,1,0
Peter Firth,1,0
Diane Keaton,4,1
Leslie Browne,1,0
Quinn Cummings,1,0
Melinda Dillon,2,0
Tuesday Weld,1,0
Airport '77,2,0
Close Encounters of the Third Kind,8,2
The Spy Who Loved Me,3,0
Star Wars,9,6
The Turning Point,7,0
Islands in the Stream,1,0
Julia,7,1
Looking for Mr. Goodbar,1,0
A Little Night Music,2,1
The Other Side of Midnight,1,0
Annie Hall,3,3
The Children of Theatre Street,1,0
High Grass Circus,1,0
Homage to Chagall--The Colours of Love,1,0
Union Maids,1,0
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1,1
"Agueda Martinez: Our People, Our Country",1,0
First Edition,1,0
Gravity Is My Enemy,1,1
"Of Time, Tombs and Treasure",1,0
The Shetland Experience,1,0
Smokey and the Bandit,1,0
Iphigenia,1,0
Madame Rosa,1,1
Operation Thunderbolt,1,0
A Special Day,1,0
That Obscure Object of Desire,2,0
Mohammad - Messenger of God,1,0
Pete's Dragon,2,0
The Slipper and the Rose--The Story of Cinderella,2,0
The Rescuers,1,0
You Light Up My Life,1,1
The Goodbye Girl,2,0
The Bead Game,1,0
The Doonesbury Special,1,0
Jimmy the C,1,0
The Sand Castle,1,1
The Absent-Minded Waiter,1,0
Floating Free,1,0
I'll Find a Way,1,1
Notes on the Popular Arts,1,0
Spaceborne,1,0
The Deep,1,0
Sorcerer,1,0
Equus,1,0
I Never Promised You a Rose Garden,1,0
"Oh, God!",1,0
The Late Show,1,0
Walter Mirisch,2,2
Gary Busey,1,0
Bruce Dern,2,0
Richard Farnsworth,2,0
John Hurt,2,0
Christopher Walken,2,1
Jill Clayburgh,2,0
Penelope Milford,1,0
Meryl Streep,21,3
The Brink's Job,1,0
California Suite,2,0
Interiors,3,0
The Wiz,4,0
Days of Heaven,4,1
The Deer Hunter,6,4
"Same Time, Next Year",3,0
Caravans,1,0
Death on the Nile,1,1
The Swarm,1,0
Coming Home,4,1
Midnight Express,5,2
The Lovers' Wind,1,0
Mysterious Castles of Clay,1,0
Raoni,1,0
Scared Straight!,1,1
With Babies and Banners: Story of the Women's Emergency Brigade,1,0
The Divided Trail: A Native American Odyssey,1,0
An Encounter with Faces,1,0
The Flight of the Gossamer Condor,1,1
Goodnight Miss Ann,1,0
Squires of San Quentin,1,0
The Boys from Brazil,2,0
Get Out Your Handkerchiefs,1,1
The Glass Cell,1,0
Hungarians,1,0
Viva Italia!,1,0
White Bim Black Ear,1,0
The Buddy Holly Story,2,1
Pretty Baby,1,0
Grease,1,0
Thank God It's Friday,1,1
Foul Play,1,0
The Magic of Lassie,1,0
An Unmarried Woman,2,0
Oh My Darling,1,0
Rip Van Winkle,1,0
Special Delivery,1,1
A Different Approach,1,0
