,Awards,Country,DVD,Director,Language,Metascore,Plot,Poster,Production,Rated,Rating,RatingSource,Released,Response,Runtime,Title,Type,Website,Year,imdbID,imdbRating,imdbVotes
5267,2 wins & 2 nominations.,USA,04 May 2010,Doug Pray,English,62,"ART & COPY is a powerful new film about advertising and inspiration. Directed by Doug Pray (SURFWISE, SCRATCH, HYPE!), it reveals the work and wisdom of some of the most influential ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2MDcxMzk0Ml5BMl5BanBnXkFtZTcwNzcyNDg3Mg@@._V1_SX300.jpg,Seventh Art Releasing,TV-PG,6.8/10,Internet Movie Database,21 Aug 2009,True,89 min,Art & Copy,movie,http://www.artandcopyfilm.com/,2009,tt1333631,6.8,"1,610"
5270,8 wins & 10 nominations.,"UK, Ireland",27 Apr 2010,Oliver Hirschbiegel,English,62,"The story of former UVF member Alistair Little. Twenty-five years after Little killed Joe Griffen's brother, the media arrange an auspicious meeting between the two.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTIwODEyNjgwNF5BMl5BanBnXkFtZTcwODE0ODg3Mg@@._V1_SX300.jpg,IFC Films,R,6.7/10,Internet Movie Database,27 Feb 2009,True,89 min,Five Minutes of Heaven,movie,http://www.fiveminutesofheaven.ie/,2009,tt1238291,6.7,"11,296"
5273,2 wins & 3 nominations.,USA,09 Feb 2010,Richard Loncraine,English,62,An unusual road trip movie about a mother driving her two sons from New York to Pittsburgh to St. Louis and eventually Hollywood in her quest to find a man to take care of them all.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMDI1MjExNF5BMl5BanBnXkFtZTcwNzA1MzQ3Mg@@._V1_SX300.jpg,Freestyle Releasing,PG-13,6.6/10,Internet Movie Database,25 Sep 2009,True,108 min,My One and Only,movie,http://www.myoneandonly.com/,2009,tt1185431,6.6,"7,582"
5276,1 nomination.,USA,08 Dec 2009,Bobcat Goldthwait,English,69,"When his son's body is found in a humiliating accident, a lonely high school teacher inadvertently attracts an overwhelming amount of community and media attention after covering up the truth with a phony suicide note.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDZhMThjMDMtYTY4Mi00YmVjLTgxZDYtZDQzZjdmNjNhZGVmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Magnolia Pictures,R,6.9/10,Internet Movie Database,24 Sep 2010,True,99 min,World's Greatest Dad,movie,http://www.worldsgreatestdadfilm.com/,2009,tt1262981,6.9,"34,165"
5279,N/A,USA,03 Nov 2009,Todd Louiso,English,30,"Former high school musical star, Marc Pease, finds himself still living in the past, eight years after graduating.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NzA0MzE1OV5BMl5BanBnXkFtZTcwNzg2OTI4Mg@@._V1_SX300.jpg,Paramount Vantage,PG-13,4.1/10,Internet Movie Database,21 May 2010,True,84 min,The Marc Pease Experience,movie,N/A,2009,tt0913413,4.1,"1,926"
5282,2 wins & 1 nomination.,USA,05 Jan 2010,David R. Ellis,English,30,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMzQ5NjI2MF5BMl5BanBnXkFtZTcwNDA5MjM2Mg@@._V1_SX300.jpg,Warner Bros. Pictures,R,5.2/10,Internet Movie Database,28 Aug 2009,True,82 min,The Final Destination,movie,http://www.thefinaldestinationmovie.com/,2009,tt1144884,5.2,"83,232"
5285,1 win & 1 nomination.,USA,12 Jan 2010,Rob Zombie,English,35,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.",https://ia.media-imdb.com/images/M/MV5BMjE2OTEzODI0NF5BMl5BanBnXkFtZTcwMTE4MTY2Mg@@._V1_SX300.jpg,The Weinstein Company,R,4.9/10,Internet Movie Database,28 Aug 2009,True,105 min,Halloween II,movie,http://www.halloween2-movie.com/,2009,tt1311067,4.9,"40,447"
5288,8 nominations.,USA,15 Dec 2009,Ang Lee,English,55,A man working at his parents' motel in the Catskills inadvertently sets in motion the generation-defining concert in the summer of 1969.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE5NDYzM2YtMjlhMS00Yjc5LWFhZWUtNjQ4ODVhZTQ4OTFkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Focus Features,R,6.7/10,Internet Movie Database,28 Aug 2009,True,120 min,Taking Woodstock,movie,http://www.takingwoodstockthemovie.com/,2009,tt1127896,6.7,"26,178"
5291,1 win & 5 nominations.,USA,12 Jan 2010,Robert D. Siegel,English,70,A hard-core New York Giants fan struggles to deal with the consequences when he is beaten up by his favorite player.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3ODEzMTk3N15BMl5BanBnXkFtZTcwNjk1MzY2Mg@@._V1_SX300.jpg,First Independant Pictures,R,6.7/10,Internet Movie Database,18 Jan 2009,True,88 min,Big Fan,movie,http://www.bigfanmovie.com/,2009,tt1228953,6.7,"8,324"
5294,N/A,USA,25 May 2010,Dan Eckman,English,42,A group of former Encyclopedia Brown-style child-detectives struggle to solve an adult mystery.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MzI5ODYyMl5BMl5BanBnXkFtZTcwNTEwOTQzMg@@._V1_SX300.jpg,Roadside Attractions,R,6.8/10,Internet Movie Database,17 Jan 2009,True,97 min,Mystery Team,movie,http://mysteryteam-movie.com/,2009,tt1237838,6.8,"8,006"
5297,N/A,USA,17 Nov 2009,Michael Meredith,English,47,"Movie centers on the adult son of a baseball legend who, together with his girlfriend, embarks on a road trip with his estranged father.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NDc5NzYwOF5BMl5BanBnXkFtZTcwMzc5Mzc3Mg@@._V1_SX300.jpg,Anchor Bay Entertainment,PG-13,5.5/10,Internet Movie Database,28 Aug 2009,True,90 min,The Open Road,movie,http://www.theopenroadmovie.com/,2009,tt1007018,5.5,"3,140"
5300,2 wins & 3 nominations.,USA,02 Mar 2010,Ondi Timoner,English,69,"A documentary focusing on the life of dot-com entrepreneur Josh Harris, and his exploits over the last decade.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MjE2MzA3MF5BMl5BanBnXkFtZTcwMzY5Nzc3Mg@@._V1_SX300.jpg,Interloper & Abramorama,UNRATED,7.2/10,Internet Movie Database,03 Sep 2010,True,91 min,We Live in Public,movie,http://www.weliveinpublicthemovie.com/,2009,tt0498329,7.2,"1,640"
5303,2 wins & 5 nominations.,USA,23 Feb 2010,R.J. Cutler,English,69,A documentary chronicling Vogue editor-in-chief Anna Wintour's preparations for the 2007 fall-fashion issue.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NzI0MjU5OV5BMl5BanBnXkFtZTcwNTM0NjU1Mg@@._V1_SX300.jpg,Roadside Attractions,PG-13,7.0/10,Internet Movie Database,25 Sep 2009,True,90 min,The September Issue,movie,http://www.theseptemberissue.com/,2009,tt1331025,7.0,"6,652"
5306,2 wins & 3 nominations.,USA,22 Dec 2009,Phil Traill,"English, Spanish, French, American Sign Language",17,"Convinced that a CCN cameraman is her true love, an eccentric crossword puzzler trails him as he travels all over the country, hoping to convince him that they belong together.",https://ia.media-imdb.com/images/M/MV5BMTA5MTQxOTE2OTReQTJeQWpwZ15BbWU3MDY5NzI4NzI@._V1_SX300.jpg,20th Century Fox,PG-13,4.8/10,Internet Movie Database,04 Sep 2009,True,99 min,All About Steve,movie,http://www.allaboutstevemovie.com/,2009,tt0881891,4.8,"35,621"
5309,N/A,USA,22 Dec 2009,Mike Judge,English,61,"Joel, the owner of an extract plant, tries to contend with myriad personal and professional problems, such as his potentially unfaithful wife and employees who want to take advantage of him.",https://ia.media-imdb.com/images/M/MV5BMTgzNzU3OTQ4NV5BMl5BanBnXkFtZTcwOTY3MzA4Mg@@._V1_SX300.jpg,Miramax,R,6.2/10,Internet Movie Database,04 Sep 2009,True,92 min,Extract,movie,http://www.extract-the-movie.com/,2009,tt1225822,6.2,"40,696"
5312,1 win.,USA,18 Jan 2010,"Mark Neveldine, Brian Taylor",English,27,"In a future mind-controlling game, death row convicts are forced to battle in a 'Doom'-type environment. Convict Kable, controlled by Simon, a skilled teenage gamer, must survive thirty sessions in order to be set free. Or won't he?",https://ia.media-imdb.com/images/M/MV5BMTkzMDU0NTg3MF5BMl5BanBnXkFtZTcwNzU1MjU1Mg@@._V1_SX300.jpg,Lionsgate Films,R,5.8/10,Internet Movie Database,04 Sep 2009,True,95 min,Gamer,movie,http://gamerthemovie.com/,2009,tt1034032,5.8,"120,323"
5315,1 win.,USA,N/A,Leslie Cockburn,English,60,This doc takes a look at how the Wall Street meltdown has affected the working class.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMzcyNzM2OV5BMl5BanBnXkFtZTcwNjQ4MDU4Mg@@._V1_SX300.jpg,Argot Pictures,UNRATED,7.7/10,Internet Movie Database,02 May 2009,True,89 min,American Casino,movie,http://www.americancasinothemovie.com/,2009,tt1396209,7.7,45
5318,9 wins & 18 nominations.,"USA, United Arab Emirates, Canada, Kuwait, Jordan",12 Jan 2010,Cherien Dabis,"English, Arabic, French",73,A drama centered on the trials and tribulations of a proud Palestinian Christian immigrant single mother and her teenage son in small town Indiana.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NTU0MDA0M15BMl5BanBnXkFtZTcwOTg1OTA4Mg@@._V1_SX300.jpg,National Geographic,PG-13,7.1/10,Internet Movie Database,17 Jun 2009,True,96 min,Amreeka,movie,http://www.amerrika-lefilm.com/,2009,tt1190858,7.1,"3,210"
5321,1 nomination.,USA,29 Dec 2009,"David Pastor, Àlex Pastor",English,N/A,Four friends fleeing a viral pandemic soon learn they are more dangerous than any virus.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTcxMzYxMl5BMl5BanBnXkFtZTcwODQyODQ3Mg@@._V1_SX300.jpg,Paramount Vantage,PG-13,6.0/10,Internet Movie Database,02 Sep 2009,True,84 min,Carriers,movie,http://www.carriersmovie.com/,2009,tt0806203,6.0,"37,699"
5323,N/A,"USA, UK, Canada",08 Sep 2009,"Greg Tiernan, Jeff Bailey","English, Swedish",N/A,Thomas finds an old engine and tries to restore him without The Fat Controller finding out.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzOTg2NTA3MV5BMl5BanBnXkFtZTcwMTgzOTIxMw@@._V1_SX300.jpg,Nitrogen Studios Canada,NOT RATED,6.8/10,Internet Movie Database,08 Sep 2009,True,61 min,Thomas & Friends: Hero of the Rails,movie,N/A,2009,tt1474918,6.8,148
5324,9 nominations.,USA,29 Dec 2009,Shane Acker,English,60,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODE1MTgxMV5BMl5BanBnXkFtZTcwNTM1NTM2Mg@@._V1_SX300.jpg,Focus Features,PG-13,7.1/10,Internet Movie Database,09 Sep 2009,True,79 min,9,movie,http://www.9themovie.com,2009,tt0472033,7.1,"119,790"
5327,1 win & 5 nominations.,USA,28 Jun 2005,Tyler Perry,English,55,"When Madea catches sixteen-year-old Jennifer and her two younger brothers looting her home, she decides to take matters into her own hands and delivers the young delinquents to the only ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzODgyNzQ1Ml5BMl5BanBnXkFtZTcwMzc0OTY3Mg@@._V1_SX300.jpg,Lionsgate Films,PG-13,4.3/10,Internet Movie Database,11 Sep 2009,True,113 min,I Can Do Bad All by Myself,movie,http://www.icandobadmovie.com/,2009,tt1385912,4.3,"8,740"
5330,2 nominations.,USA,23 Feb 2010,Stewart Hendler,English,24,"A group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMTQ4ODc4M15BMl5BanBnXkFtZTcwMzI1NjE4Mg@@._V1_SX300.jpg,Summit Entertainment,R,5.1/10,Internet Movie Database,11 Sep 2009,True,101 min,Sorority Row,movie,http://thetapi-ordie.com/,2009,tt1232783,5.1,"25,707"
5333,N/A,"USA, Canada, France, Turkey",19 Jan 2010,Dominic Sena,"English, Russian",N/A,"U.S. Marshal Carrie Stetko tracks a killer in Antarctica, as the sun is about to set for six months.",https://ia.media-imdb.com/images/M/MV5BNTEyMDgwNzU1NF5BMl5BanBnXkFtZTcwMDkxMzI4Mg@@._V1_SX300.jpg,Warner Bros. Pictures,R,5.5/10,Internet Movie Database,11 Sep 2009,True,101 min,Whiteout,movie,http://whiteoutmovie.warnerbros.com/,2009,tt0365929,5.5,"34,180"
5335,14 wins & 2 nominations.,USA,23 Feb 2010,Joe Berlinger,"English, Spanish",75,The story of lawsuit by tens of thousands of Ecuadorans against Chevron over contamination of the Ecuadorean Amazon.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MzM1NzM5OV5BMl5BanBnXkFtZTcwMDgwMTM3Mg@@._V1_SX300.jpg,First Run Features,UNRATED,7.5/10,Internet Movie Database,15 Jan 2010,True,105 min,Crude,movie,http://www.crudethemovie.com/,2009,tt1326204,7.5,755
5338,N/A,"USA, Saudi Arabia",22 Dec 2009,Peter Hyams,English,35,"Remake of the 1956 film noir film ""Beyond a Reasonable Doubt"" in which a writer's plan to expose a corrupt district attorney takes an unexpected turn.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MzU1NjgyMF5BMl5BanBnXkFtZTcwNzM1MjQ1Mg@@._V1_SX300.jpg,Anchor Bay Films,PG-13,5.9/10,Internet Movie Database,10 Jul 2009,True,106 min,Beyond a Reasonable Doubt,movie,http://www.beyondareasonabledoubtmovie.com/,2009,tt1183251,5.9,"11,326"
5341,1 win.,USA,19 Jan 2010,"Laura Gabbert, Justin Schein",English,66,Follow the Manhattan-based Beavan family as they abandon their high consumption 5th Avenue lifestyle and try to live a year while making no net environmental impact.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2MzM0ODIxMDheQTJeQWpwZ15BbWU3MDc1OTMzNzI@._V1_SX300.jpg,Oscilloscope Pictures,NOT RATED,6.7/10,Internet Movie Database,17 Jun 2010,True,93 min,No Impact Man: The Documentary,movie,http://www.oscilloscope.net/shop/view_film.php?ID=16&r=gallery,2009,tt1280011,6.7,"1,390"
5344,3 wins.,USA,01 Mar 2010,Dave Boyle,"Japanese, English",45,"Forty-year-old Jimmy is growing up, or at least he's getting older. While mooching the upper bunk of his ten-year-old nephew's bed, he enjoys the never-ending generosity of his sister Aiko,...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMTc4ODA4NV5BMl5BanBnXkFtZTcwMDMwNDk5Mw@@._V1_SX300.jpg,Variance Films,PG-13,6.2/10,Internet Movie Database,17 Mar 2009,True,83 min,White on Rice,movie,http://www.whiteonricethemovie.com/,2009,tt0892904,6.2,482
5347,11 wins & 5 nominations.,"Belgium, Germany, Canada, France, USA, UK",25 Feb 2014,Jaco Van Dormael,"English, Mohawk",63,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4ODkzMDQ3Nl5BMl5BanBnXkFtZTgwNTEwMTkxMDE@._V1_SX300.jpg,Magnolia Pictures,R,7.9/10,Internet Movie Database,26 Sep 2013,True,141 min,Mr. Nobody,movie,http://www.magpictures.com/mrnobody/,2009,tt0485947,7.9,"180,686"
5350,N/A,Australia,N/A,Emma Leonard,English,N/A,The third wheel's turning around!,N/A,N/A,N/A,7.3/10,Internet Movie Database,N/A,True,15 min,The Other Woman,movie,N/A,2009,tt1485093,7.3,10
5351,Nominated for 1 Golden Globe. Another 1 win & 13 nominations.,USA,05 Jan 2010,"Phil Lord, Christopher Miller","English, French, Russian",66,"A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MjAwNDI5MV5BMl5BanBnXkFtZTcwODkyMzg2Mg@@._V1_SX300.jpg,Sony Pictures,PG,7.0/10,Internet Movie Database,18 Sep 2009,True,90 min,Cloudy with a Chance of Meatballs,movie,http://www.sonypictures.com/movies/cloudywithachanceofmeatballs/,2009,tt0844471,7.0,"171,432"
5354,Nominated for 2 Golden Globes. Another 1 win & 18 nominations.,USA,23 Feb 2010,Steven Soderbergh,"English, German",66,"The U.S. government decides to go after an agro-business giant with a price-fixing accusation, based on the evidence submitted by their star witness, vice president-turned-informant Mark Whitacre.",https://ia.media-imdb.com/images/M/MV5BMTc4MDIyMTM3NV5BMl5BanBnXkFtZTcwNDQ2Nzg2Mg@@._V1_SX300.jpg,Warner Bros. Pictures,R,6.5/10,Internet Movie Database,18 Sep 2009,True,108 min,The Informant!,movie,http://www.theinformantmovie.com/,2009,tt1130080,6.5,"56,576"
5357,3 wins & 4 nominations.,USA,29 Dec 2009,Karyn Kusama,"English, Spanish",47,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNzYwMjc1Ml5BMl5BanBnXkFtZTcwNDI3MDE3Mg@@._V1_SX300.jpg,20th Century Fox,R,5.1/10,Internet Movie Database,18 Sep 2009,True,102 min,Jennifer's Body,movie,http://www.jennifersbody.com/,2009,tt1131734,5.1,"100,286"
5360,1 win.,"USA, Canada, UK",02 Feb 2010,Brandon Camp,English,33,"A widower whose book about coping with loss turns him into a best-selling self-help guru, falls for the hotel florist where his seminar is given, only to learn that he hasn't yet truly confronted his wife's passing.",https://ia.media-imdb.com/images/M/MV5BMTU1ODc4NjkyOF5BMl5BanBnXkFtZTcwMTA1MjU2Mg@@._V1_SX300.jpg,Universal Pictures,PG-13,5.6/10,Internet Movie Database,18 Sep 2009,True,109 min,Love Happens,movie,http://www.lovehappensmovie.com/,2009,tt0899106,5.6,"27,550"
5363,Nominated for 1 Oscar. Another 16 wins & 52 nominations.,"UK, Australia, France",26 Jan 2010,Jane Campion,"English, French",81,The three-year romance between 19th-century poet John Keats and Fanny Brawne near the end of his life.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NjEwNDgxNF5BMl5BanBnXkFtZTcwMjkyOTM3Mg@@._V1_SX300.jpg,Apparition Films,PG,7.0/10,Internet Movie Database,09 Oct 2009,True,119 min,Bright Star,movie,http://www.brightstar-movie.com/,2009,tt0810784,7.0,"22,965"
5366,N/A,USA,26 Jan 2010,Oktay Ortabasi,English,N/A,"Fuel is the story of a young man's struggle to save his girl from an abusive environment. Emilio discovers that he has the ability to run incredibly fast. With the hope of a scholarship, he...",https://images-na.ssl-images-amazon.com/images/M/MV5BMzc0MzE0NzM2MF5BMl5BanBnXkFtZTcwMTE2Nzg3MQ@@._V1_SX300.jpg,Greenlight Theatrical,NOT RATED,5.4/10,Internet Movie Database,N/A,True,95 min,Fuel,movie,http://thefuelfilm.com/,2009,tt1072437,5.4,103
5367,N/A,UK,NOT_GIVEN,N/A,English,N/A,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZDNkMjFmM2YtMTcxYS00MDQxLTk4MGMtZWMyNzcyYTI0Zjg3L2ltYWdlXkEyXkFqcGdeQXVyMjgzMzAzMjE@._V1_SX300.jpg,NOT_GIVEN,N/A,1.9/10,Internet Movie Database,29 Jan 2009,True,60 min,Paris Hilton's British Best Friend,series,NOT_GIVEN,2009–,tt1360544,1.9,528
5368,4 wins & 23 nominations.,"Canada, France, USA",05 Oct 2010,Vincenzo Natali,"English, French",66,Genetic engineers Clive Nicoli and Elsa Kast hope to achieve fame by successfully splicing together the DNA of different animals to create new hybrid animals for medical use.,https://ia.media-imdb.com/images/M/MV5BMjEwODQ0MjI2OV5BMl5BanBnXkFtZTcwMTA4MjQ0Mw@@._V1_SX300.jpg,Warner Brothers,R,5.8/10,Internet Movie Database,04 Jun 2010,True,104 min,Splice,movie,http://www.splicethefilm.com/,2009,tt1017460,5.8,"84,478"
5371,N/A,USA,22 Dec 2009,Tamika R. Guishard,English,N/A,"Fred is the last person that Viola, striking and masculine, expects to find on her hunt for wholesome comfort food to heal her broken heart. Against East Brooklyn's organic reality, V and ...",N/A,Variance Releasing,N/A,33%,Rotten Tomatoes,N/A,True,13 min,Blind Date,movie,N/A,2009,tt1880132,N/A,N/A
5372,1 nomination.,USA,12 Jan 2010,Kevin Tancharoen,English,39,"An updated version of the musical Fame (1980), which centered on the students of the New York Academy of Performing Arts.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1NjE1NjY0OF5BMl5BanBnXkFtZTcwMDQ3ODg3Mg@@._V1_SX300.jpg,MGM,PG,5.0/10,Internet Movie Database,25 Sep 2009,True,107 min,Fame,movie,http://www.generationfame.com,2009,tt1016075,5.0,"14,883"
5375,N/A,"Germany, UK, USA",19 Jan 2010,Christian Alvart,"English, Vietnamese, German",28,A pair of crew members aboard a spaceship wake up with no knowledge of their mission or their identities.,https://ia.media-imdb.com/images/M/MV5BNDQxNjc5NTMxNl5BMl5BanBnXkFtZTcwNjg2NDE4Mg@@._V1_SX300.jpg,Overture Films,R,6.8/10,Internet Movie Database,25 Sep 2009,True,108 min,Pandorum,movie,http://www.pandorummovie.com/,2009,tt1188729,6.8,"131,388"
5378,N/A,USA,26 Jan 2010,Jonathan Mostow,English,45,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMTU5OTY0Ml5BMl5BanBnXkFtZTcwMDA0NjA3Mg@@._V1_SX300.jpg,Touchstone Pictures,PG-13,6.3/10,Internet Movie Database,25 Sep 2009,True,89 min,Surrogates,movie,http://chooseyoursurrogate.com/,2009,tt0986263,6.3,"158,744"
5381,1 win & 2 nominations.,Canada,23 Feb 2010,Mike Clattenburg,English,N/A,"The boys return from jail to find the park has deteriorated, with a brand new park being created beside it. They attempt a series of get rich quick schemes and robberies, while a freshly drunk Lahey threatens to derail their plans.",https://ia.media-imdb.com/images/M/MV5BMTExNzA5NDI5MTleQTJeQWpwZ15BbWU3MDg1NTc4NDU@._V1_SX300.jpg,Screen Media,R,7.4/10,Internet Movie Database,25 Sep 2009,True,102 min,Trailer Park Boys: Countdown to Liquor Day,movie,http://www.trailerparkboysmovie.com/,2009,tt1337032,7.4,"6,060"
5382,6 nominations.,"Australia, UK",26 Jan 2010,Scott Hicks,English,57,A sports writer becomes a single parent in tragic circumstances.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMTQ1MjczOV5BMl5BanBnXkFtZTcwMDg5MTI4Mg@@._V1_SX300.jpg,Miramax Films,PG-13,6.9/10,Internet Movie Database,12 Nov 2009,True,104 min,The Boys Are Back,movie,http://www.boysarebackmovie.com/,2009,tt0926380,6.9,"9,344"
5385,1 nomination.,USA,16 Mar 2010,John Krasinski,English,44,A graduate student (Nicholson) copes with a recent breakup by conducting interviews with various men.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNzYxMTk4NF5BMl5BanBnXkFtZTcwMDY1MTM4Mg@@._V1_SX300.jpg,IFC,NOT RATED,5.6/10,Internet Movie Database,19 Jan 2009,True,80 min,Brief Interviews with Hideous Men,movie,http://www.briefinterviewsmovie.com/index.html,2009,tt0790627,5.6,"3,041"
5388,Nominated for 1 Oscar. Another 5 wins & 19 nominations.,"France, Belgium",16 Feb 2010,Anne Fontaine,"French, English",65,The story of Coco Chanel's rise from obscure beginnings to the heights of the fashion world.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0NjYzMzQxNzBeQTJeQWpwZ15BbWU3MDI2MDA0ODI@._V1_SX300.jpg,Sony Pictures Classics,PG-13,6.7/10,Internet Movie Database,06 Nov 2009,True,105 min,Coco Before Chanel,movie,http://www.sonyclassics.com/cocobeforechanel,2009,tt1035736,6.7,"34,545"
5391,N/A,USA,26 Jan 2010,Bob Gosse,English,26,A guy tries to patch things up with his soon-to-be-married pal after botching things up at his bachelor party.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMzQyNzIyNF5BMl5BanBnXkFtZTcwNDAwMjc3Mg@@._V1_SX300.jpg,Freestyle Releasing,R,5.3/10,Internet Movie Database,25 Sep 2009,True,105 min,I Hope They Serve Beer in Hell,movie,http://www.ihopetheyservebeerinhell.com/,2009,tt1220628,5.3,"7,710"
5394,4 wins & 12 nominations.,USA,09 Mar 2010,Michael Moore,"English, Russian, Spanish",61,An examination of the social costs of corporate interests pursuing profits at the expense of the public good.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMTA2MTE4NF5BMl5BanBnXkFtZTcwNTgwMDE4Mg@@._V1_SX300.jpg,Overture Films,R,7.4/10,Internet Movie Database,02 Oct 2009,True,127 min,Capitalism: A Love Story,movie,http://www.capitalismalovestory.com/,2009,tt1232207,7.4,"38,084"
5397,1 nomination.,USA,19 Jan 2010,"Ricky Gervais, Matthew Robinson",English,58,"A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2OTQzOTc1Nl5BMl5BanBnXkFtZTcwNDM5MDE4Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,6.4/10,Internet Movie Database,02 Oct 2009,True,100 min,The Invention of Lying,movie,http://the-invention-of-lying.warnerbros.com/,2009,tt1058017,6.4,"101,214"
5400,8 nominations.,USA,26 Jan 2010,Drew Barrymore,English,68,"In Bodeen, Texas, an indie-rock loving misfit finds a way of dealing with her small-town misery after she discovers a roller derby league in nearby Austin.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDM1NzkzMjQ4NF5BMl5BanBnXkFtZTcwMDE3Nzk3Mg@@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,6.9/10,Internet Movie Database,02 Oct 2009,True,111 min,Whip It,movie,http://www.foxsearchlight.com/whipit/,2009,tt1172233,6.9,"58,823"
5403,9 wins & 28 nominations.,USA,02 Feb 2010,Ruben Fleischer,English,73,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg,Sony/Columbia Pictures,R,7.7/10,Internet Movie Database,02 Oct 2009,True,88 min,Zombieland,movie,http://www.zombieland.com/,2009,tt1156398,7.7,"429,135"
5406,Nominated for 2 Oscars. Another 17 wins & 72 nominations.,"USA, UK, France",09 Feb 2010,"Ethan Coen, Joel Coen","English, Yiddish, Hebrew",79,"Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODUxMjA0M15BMl5BanBnXkFtZTcwNjIyMzY3Mg@@._V1_SX300.jpg,Focus Features,R,7.0/10,Internet Movie Database,06 Nov 2009,True,106 min,A Serious Man,movie,http://www.facebook.com/ASeriousMan,2009,tt1019452,7.0,"112,705"
5409,1 nomination.,India,24 Nov 2009,Ashutosh Gowariker,Hindi,N/A,"A young man has only ten days to locate his soulmate as dictated by the stars, otherwise he could lose a fortune. He thus embarks on a journey through love, looking through twelve girls to find the one who fits his horoscope.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0ODQ3NDI0MF5BMl5BanBnXkFtZTcwMTI0NjI4Mg@@._V1_SX300.jpg,UTV Motion Pictures,N/A,4.7/10,Internet Movie Database,02 Oct 2009,True,195 min,What's Your Raashee?,movie,http://www.whatsyourraashee.com/,2009,tt1242530,4.7,"2,176"
